,Restaurant,Category,Items,Calories,Protein (g),Carbs (g),Sodium (mg),Sugars (g)
0,popeyes,chicken,Wing,210,13,8,610.0,0.0
1,popeyes,chicken,Leg,160,14,5,460.0,0.0
2,popeyes,chicken,Thigh,280,14,7,640.0,0.0
3,popeyes,chicken,Breast,440,35,16,1330.0,0.0
4,popeyes,chicken,Wing,210,13,8,410.0,1.0
5,popeyes,chicken,Leg,170,13,5,360.0,1.0
6,popeyes,chicken,Thigh,260,14,8,460.0,1.0
7,popeyes,chicken,Breast,420,33,13,830.0,3.0
8,popeyes,chicken,Nugget (4),150,7,10,230.0,0.0
9,popeyes,chicken,Nuggets (6),230,11,14,350.0,0.0
10,popeyes,chicken,Mild Tenders (3),340,27,26,1350.0,0.0
11,popeyes,chicken,Spicy Tenders (3),310,28,16,1240.0,0.0
12,popeyes,chicken,Blackened Tenders (3),170,26,2,550.0,0.0
13,popeyes,sandwiches & wraps,Loaded Chicken Wrap,310,14,33,890.0,0.0
14,popeyes,sandwiches & wraps,Chicken Po’ Boy,660,31,61,2120.0,3.0
15,popeyes,sandwiches & wraps,Shrimp Po’ Boy,690,42,66,2165.0,3.0
16,popeyes,sandwiches & wraps,Blackened BBQ Chicken Po’ Boy,340,24,49,1030.0,11.0
17,popeyes,sandwiches & wraps,Chicken & Sausage Jambalaya,220,10,20,760.0,0.0
18,popeyes,sandwiches & wraps,Chicken Livers,1190,54,65,2070.0,3.0
19,popeyes,seafood,Popcorn Shrimp,330,11,28,1290.0,0.0
20,popeyes,seafood,Butterfly Shrimp (8),290,12,21,820.0,0.0
21,popeyes,seafood,Catfish Fillet,460,21,27,1140.0,0.0
22,popeyes,seafood,Cajun Fish,130,5,12,550.0,1.0
23,popeyes,sides,Biscuit,260,4,26,450.0,1.0
24,popeyes,sides,Baguette,90,3,18,80.0,1.0
25,popeyes,sides,Cheddar Cheese Tortilla,140,3,21,210.0,0.0
26,popeyes,sides,Regular,260,3,30,570.0,0.0
27,popeyes,sides,Large,770,10,89,1700.0,1.0
28,popeyes,sides,Corn on the Cob,190,6,37,0.0,0.0
29,popeyes,sides,Regular,200,8,26,490.0,3.0
30,popeyes,sides,Large,600,24,78,1470.0,0.0
31,popeyes,sides,Regular,110,3,18,590.0,1.0
32,popeyes,sides,Large,330,9,54,1770.0,3.0
33,popeyes,sides,Regular,230,7,23,580.0,0.0
34,popeyes,sides,Large,690,21,69,1740.0,0.0
35,popeyes,sides,Regular,170,7,25,530.0,4.0
36,popeyes,sides,Large,510,21,75,1590.0,11.0
37,popeyes,sides,Regular,40,2,6,420.0,1.0
38,popeyes,sides,Large,120,6,18,1260.0,3.0
39,popeyes,sides,Regular,220,1,19,300.0,15.0
40,popeyes,sides,Large,660,4,58,900.0,45.0
41,popeyes,sides,6,280,3,25,460.0,2.0
42,popeyes,sides,12,560,6,50,920.0,4.0
43,popeyes,sides,18,830,9,74,1370.0,6.0
44,popeyes,sides,Regular (1),0,0,1,368.0,0.0
45,popeyes,sides,Large (6),0,0,6,2208.0,0.0
46,popeyes,breakfast,Chicken Biscuit,490,17,47,1270.0,2.0
47,popeyes,breakfast,Sausage Biscuit,540,13,41,1100.0,2.0
48,popeyes,breakfast,Egg Biscuit,510,13,41,1155.0,2.0
49,popeyes,breakfast,Egg & Sausage Biscuit,690,20,43,1520.0,2.0
50,popeyes,breakfast,Bacon Biscuit,400,8,37,780.0,2.0
51,popeyes,breakfast,Sausage & Gravy Biscuit,510,10,42,1090.0,3.0
52,popeyes,breakfast,Grits,370,5,80,30.0,0.0
53,popeyes,breakfast,Hash Rounds,360,3,41,450.0,0.0
54,popeyes,breakfast,Coffee,0,0,0,0.0,0.0
55,popeyes,breakfast,Orange Juice,140,2,33,20.0,30.0
56,popeyes,desserts,Hot Cinnamon Apple Pie,320,3,40,340.0,12.0
57,popeyes,desserts,Mississippi Mud Pie,280,3,51,210.0,27.0
58,popeyes,desserts,Mardi Gras Cheesecake,310,4,32,290.0,22.0
59,popeyes,desserts,Sliced Pecan Pie,410,4,52,220.0,22.0
60,popeyes,desserts,Hot Sweet Potato Pie,350,4,41,370.0,10.0
61,popeyes,beverages,Coke (22oz),230,0,59,22.0,59.0
62,popeyes,beverages,Diet Coke (22oz),0,0,0,38.0,0.0
63,popeyes,beverages,Sprite (22oz),210,0,56,77.0,56.0
64,popeyes,beverages,fanta Strawberry (22oz),300,0,80,75.0,80.0
65,popeyes,beverages,Fanta Orange (22oz),300,0,80,25.0,80.0
66,popeyes,beverages,Hawaiian Punch (22oz),175,0,43,265.0,43.0
67,popeyes,beverages,Mountain Dew (22oz),290,0,77,120.0,77.0
68,popeyes,beverages,Pepsi (22oz),200,0,70,50.0,70.0
69,popeyes,beverages,Diet Pepsi (22oz),0,0,0,50.0,0.0
70,popeyes,beverages,Dr Pepper (22oz),250,0,68,87.0,68.0
71,popeyes,beverages,Unsweetened Tea (22oz),0,0,0,10.0,0.0
72,popeyes,beverages,Sweet Tea (22oz),180,0,45,10.0,45.0
73,mcdonalds,burgers,Triple Cheeseburger,520,32,35,1180.0,7.0
74,mcdonalds,burgers,Cheddar Bacon Onion Grilled Chicken Sandwich,360,44,6,1600.0,2.0
75,mcdonalds,burgers,Bacon Clubhouse Burger,730,40,49,1280.0,12.0
76,mcdonalds,burgers,Premium Grilled Chicken Bacon Clubhouse Sandwich,280,39,4,1290.0,2.0
77,mcdonalds,burgers,Double Filet-O-Fish,540,28,47,790.0,5.0
78,mcdonalds,burgers,Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,780,40,68,1550.0,12.0
79,mcdonalds,burgers,Buffalo Ranch McChicken,360,15,39,800.0,5.0
80,mcdonalds,burgers,Bacon Buffalo Ranch McChicken,430,20,40,1040.0,6.0
81,mcdonalds,burgers,Southern Style Buttermilk Crispy Chicken Sandwich,470,25,48,950.0,5.0
82,mcdonalds,burgers,Big Mac,540,25,46,940.0,9.0
83,mcdonalds,burgers,Quarter-Pounder,440,26,40,710.0,9.0
84,mcdonalds,burgers,Double Quarter Pounder with Cheese,780,51,43,1310.0,10.0
85,mcdonalds,burgers,Hamburger,250,13,31,480.0,6.0
86,mcdonalds,burgers,Hot ‘n Spicy McChicken,420,14,39,590.0,5.0
87,mcdonalds,burgers,Cheeseburger,300,14,33,680.0,5.0
88,mcdonalds,burgers,BBQ Ranch Burger,350,15,36,670.0,7.0
89,mcdonalds,burgers,Grilled Onion Cheddar,310,15,31,580.0,6.0
90,mcdonalds,burgers,Double Cheeseburger,440,25,34,1050.0,7.0
91,mcdonalds,burgers,McDouble,390,22,33,850.0,7.0
92,mcdonalds,burgers,Bacon McDouble,450,28,34,1090.0,7.0
93,mcdonalds,burgers,Bacon Cheddar Hot ‘n Spicy McChicken,530,22,41,1040.0,6.0
94,mcdonalds,burgers,Daily Double,510,24,38,780.0,7.0
95,mcdonalds,burgers,Ranch Snack Wrap (Buttermilk Crispy),380,16,34,830.0,2.0
96,mcdonalds,burgers,Ranch Snack Wrap (Grilled),300,21,25,890.0,2.0
97,mcdonalds,burgers,Mac Snack Wrap,340,15,26,660.0,2.0
98,mcdonalds,burgers,Jalapeño Double,440,23,34,990.0,6.0
99,mcdonalds,burgers,Quarter Pounder Deluxe,650,32,44,1180.0,11.0
100,mcdonalds,burgers,McTeri Deluxe,620,28,57,1190.0,25.0
101,mcdonalds,burgers,Double Homestyle Burger,500,40,3,640.0,0.0
102,mcdonalds,burgers,Bacon Double Cheeseburger,500,30,35,1290.0,8.0
103,mcdonalds,burgers,Denali Big Mac,840,50,47,1080.0,9.0
104,mcdonalds,burgers,Quarter Pounder Cheddar Bacon Onion,470,36,7,1060.0,2.0
105,mcdonalds,burgers,Daily Double Burger Mustard Style,410,24,37,760.0,7.0
106,mcdonalds,burgers,Double Grilled Onion Cheddar Burger,390,24,30,600.0,5.0
107,mcdonalds,burgers,Grilled Onion Cheddar Burger Triple,530,34,32,920.0,5.0
108,mcdonalds,burgers,Big Mac with Butter,560,25,46,940.0,9.0
109,mcdonalds,burgers,Homestyle Burger,430,26,37,660.0,7.0
110,mcdonalds,burgers,Cheeseburger Bacon,360,26,33,920.0,7.0
111,mcdonalds,burgers,Triple Bacon Cheeseburger,590,38,36,1420.0,8.0
112,mcdonalds,burgers,Hamburger New York,250,13,31,470.0,6.0
113,mcdonalds,burgers,cheeseburger New York,300,15,33,680.0,7.0
114,mcdonalds,burgers,Triple Cheeseburger New York,520,32,35,1170.0,7.0
115,mcdonalds,burgers,Quarter Pounder Deluxe New York,630,31,43,1200.0,11.0
116,mcdonalds,burgers,Quarter Pounder New York,420,26,39,720.0,9.0
117,mcdonalds,burgers,Green Chili Double Cheeseburger New York,390,23,33,760.0,7.0
118,mcdonalds,burgers,Double Cheeseburger New York,430,25,34,1050.0,7.0
119,mcdonalds,burgers,Cheeseburger Bacon New York,360,20,33,920.0,7.0
120,mcdonalds,burgers,Bacon Double Cheeseburger New York,500,30,35,1290.0,8.0
121,mcdonalds,burgers,Triple Bacon Cheeseburger New York,590,38,36,1410.0,8.0
122,mcdonalds,burgers,Bacon McDouble New York,450,28,34,1080.0,7.0
123,mcdonalds,burgers,Quarter Pounder With Cheese New York,520,31,42,1130.0,10.0
124,mcdonalds,burgers,Double Quarter Pounder With Cheese New York,750,51,42,1350.0,10.0
125,mcdonalds,burgers,Signature Sriracha Burger on Artisan Roll,170,6,11,390.0,1.0
126,mcdonalds,burgers,Double Lone Star Stack Burger,880,58,56,1550.0,16.0
127,mcdonalds,burgers,Lone Star Stack Burger,720,43,56,1710.0,16.0
128,mcdonalds,burgers,Bacon Quarter Pounder With Cheese,630,39,40,1470.0,10.0
129,mcdonalds,burgers,Bacon Quarter Pounder With Cheese (Classic),640,39,44,1480.0,11.0
130,mcdonalds,burgers,Spain’s Grand McExtreme Bacon,750,43,38,1310.0,8.0
131,mcdonalds,burgers,Spain’s Double Grand McExtreme Bacon,970,63,38,1520.0,8.0
132,mcdonalds,burgers,Bacon Big Mac,630,33,47,1300.0,9.0
133,mcdonalds,chicken and sandwiches,Cheddar Bacon Onion Grilled Chciken Sandwich,360,44,6,1600.0,2.0
134,mcdonalds,chicken and sandwiches,Premium Grilled Chicken Bacon Clubhouse Sandwich,280,39,4,1290.0,2.0
135,mcdonalds,chicken and sandwiches,Double Filet-O-Fish,540,28,47,790.0,5.0
136,mcdonalds,chicken and sandwiches,Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,780,40,68,1550.0,12.0
137,mcdonalds,chicken and sandwiches,McChicken,410,15,39,590.0,5.0
138,mcdonalds,chicken and sandwiches,Buffalo Ranch McChicken,360,15,39,800.0,5.0
139,mcdonalds,chicken and sandwiches,Bacon Buffalo Ranch McChicken,430,20,40,1040.0,6.0
140,mcdonalds,chicken and sandwiches,Bacon Cheddar McChicken,520,23,41,1030.0,6.0
141,mcdonalds,chicken and sandwiches,Southern Style Buttermilk Crispy Chicken Sandwich,470,17,48,950.0,5.0
142,mcdonalds,chicken and sandwiches,McRib,480,24,45,890.0,12.0
143,mcdonalds,chicken and sandwiches,Hot ‘n Spicy McChicken,420,14,39,590.0,5.0
144,mcdonalds,chicken and sandwiches,Bacon Cheddar Hot ‘n Spicy McChicken,530,22,41,1040.0,6.0
145,mcdonalds,chicken and sandwiches,Chicken McNuggets (10 piece),440,24,26,840.0,0.0
146,mcdonalds,chicken and sandwiches,Ranch Snack Wrap (Buttermilk Crispy),380,16,34,830.0,2.0
147,mcdonalds,chicken and sandwiches,Chicken McNuggets (20 piece),890,49,53,1680.0,0.0
148,mcdonalds,chicken and sandwiches,Chicken McNuggets (6 piece),270,15,16,510.0,0.0
149,mcdonalds,chicken and sandwiches,Chicken McNuggets (40 piece),1770,98,105,3370.0,1.0
150,mcdonalds,chicken and sandwiches,Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,480,13,27,1120.0,3.0
151,mcdonalds,chicken and sandwiches,Ranch Snack Wrap (Grilled),300,21,25,890.0,2.0
152,mcdonalds,chicken and sandwiches,Premium Bacon Ranch Salad with Grilled Chicken,480,33,27,1120.0,3.0
153,mcdonalds,chicken and sandwiches,Premium Southwest Salad with Buttermilk Crispy Chicken,520,28,46,960.0,9.0
154,mcdonalds,chicken and sandwiches,Premium Southwest Salad with Grilled Chicken,350,37,27,1070.0,9.0
155,mcdonalds,chicken and sandwiches,Chicken McNuggets (4 piece),180,10,11,340.0,0.0
156,mcdonalds,chicken and sandwiches,Artisan Grilled Chicken Sandwich,380,36,44,1120.0,11.0
157,mcdonalds,chicken and sandwiches,Buttermilk Crispy Chicken Sandwich,620,28,63,1030.0,11.0
158,mcdonalds,chicken and sandwiches,Veggie McWrap,480,15,62,860.0,13.0
159,mcdonalds,chicken and sandwiches,Chicken McNuggets (50 piece),2210,122,132,4210.0,1.0
160,mcdonalds,chicken and sandwiches,Lobster Roll,310,24,34,630.0,3.0
161,mcdonalds,chicken and sandwiches,McChicken Deluxe,490,18,47,830.0,7.0
162,mcdonalds,chicken and sandwiches,Old Bay Double Dilet-O-Fish Sandwich,540,29,49,770.0,5.0
163,mcdonalds,chicken and sandwiches,Old Bay Filet-O-Fish Sandwich,420,18,40,650.0,5.0
164,mcdonalds,chicken and sandwiches,Jalapeno McChicken,430,18,43,1030.0,6.0
165,mcdonalds,chicken and sandwiches,Hot ‘n Spicy McChicken Deluxe,500,18,47,840.0,7.0
166,mcdonalds,chicken and sandwiches,McChicken Scratch Biscuit,450,15,49,1080.0,3.0
167,mcdonalds,chicken and sandwiches,McGriddles Buttermilk Crispy Chicken,540,24,61,1320.0,14.0
168,mcdonalds,chicken and sandwiches,Southern Style Chicken McGriddles,410,16,51,1160.0,16.0
169,mcdonalds,chicken and sandwiches,Southern Style Chicken Biscuit Pressure Fried,440,15,46,1140.0,4.0
170,mcdonalds,chicken and sandwiches,Buttermilk Cripsy Chicken Biscuit,570,24,55,1380.0,2.0
171,mcdonalds,chicken and sandwiches,Southern Style Chicken Scratch Biscuit Pressure Fried,460,15,49,1160.0,4.0
172,mcdonalds,chicken and sandwiches,Hot N Spicy McChicken Scratch Biscuit,460,14,49,1090.0,3.0
173,mcdonalds,chicken and sandwiches,Buttermilk Crispy Tenders 2 pc,250,20,13,700.0,0.0
174,mcdonalds,chicken and sandwiches,Buttermilk Crispy Tenders 4 pc,500,39,25,1390.0,1.0
175,mcdonalds,chicken and sandwiches,Buttermilk Crispy Tenders 10 pc,1250,98,63,3480.0,2.0
176,mcdonalds,chicken and sandwiches,Signature Sriracha Buttermilk Crispy Chicken on Artisan Roll,470,25,30,850.0,1.0
177,mcdonalds,chicken and sandwiches,Signature Sriracha Artisan Grilled Chicken on Artisan Roll,230,30,10,690.0,1.0
178,mcdonalds,chicken and sandwiches,Buttermilk Crispy Tenders 6 pc,750,59,38,2090.0,1.0
179,mcdonalds,chicken and sandwiches,Buttermilk Crispy Chicken Tenders (20 piece),2500,195,126,6950.0,3.0
180,mcdonalds,chicken and sandwiches,Buttermilk Crispy Chciken Tenders Pressure Fried (4 piece),490,37,21,1420.0,1.0
181,mcdonalds,chicken and sandwiches,Buttermilk Crispy Chicken Tenders Pressure Fried (10 piece),1230,91,51,3540.0,1.0
182,mcdonalds,chicken and sandwiches,Buttermilk Crispy Chicken Tenders Pressure Fried (2 piece),250,18,10,710.0,0.0
183,mcdonalds,chicken and sandwiches,Buttermilk Crispy Chicken Tenders Pressure Fried (6 piece),740,55,31,2130.0,1.0
184,mcdonalds,chicken and sandwiches,Buttermilk Crispy Chicken Tenders Pressure Fried (20 piece),2380,210,112,7130.0,1.0
185,mcdonalds,chicken and sandwiches,Ranch Snack Wrap Buttermilk Chicken Tender,360,16,31,870.0,2.0
186,mcdonalds,chicken and sandwiches,Ultimate Chicken Sandwich Flash Finish,530,31,61,1390.0,15.0
187,mcdonalds,chicken and sandwiches,Ultimate Chicken Tenders (4 piece),420,38,22,1240.0,2.0
188,mcdonalds,chicken and sandwiches,Tomato Mozzarella Grilled Chicken Sandwich,530,42,48,1380.0,16.0
189,mcdonalds,chicken and sandwiches,Tomato Mozzarella Crispy Chicken Sandwich,690,33,67,1270.0,16.0
190,mcdonalds,breakfast,Fruit ‘n Yogurt Parfait,210,6,40,75.0,28.0
191,mcdonalds,breakfast,Steak & Egg Burrito,350,16,38,950.0,3.0
192,mcdonalds,breakfast,"Steak, Egg & Cheese Bagel",640,34,54,1440.0,7.0
193,mcdonalds,breakfast,Sausage McMuffin with Egg,480,21,30,830.0,3.0
194,mcdonalds,breakfast,Hotcakes and Sausage,780,16,103,880.0,45.0
195,mcdonalds,breakfast,Southern Style Chicken Biscuit,440,16,45,1220.0,4.0
196,mcdonalds,breakfast,Sausage Burrito,300,13,26,780.0,2.0
197,mcdonalds,breakfast,Fruit & Maple Oatmeal,310,6,62,140.0,33.0
198,mcdonalds,breakfast,Egg McMuffin,300,17,30,760.0,3.0
199,mcdonalds,breakfast,"Bacon, Egg & Cheese Biscuit",450,18,40,1300.0,3.0
200,mcdonalds,breakfast,Sausage Biscuit,460,11,36,1050.0,3.0
201,mcdonalds,breakfast,Sausage Biscuit with Egg,530,17,38,1140.0,3.0
202,mcdonalds,breakfast,"Bacon, Egg & Cheese McGriddles",420,18,45,1240.0,15.0
203,mcdonalds,breakfast,Sausage McGriddles,430,11,42,990.0,15.0
204,mcdonalds,breakfast,"Sausage, Egg & Cheese McGriddles",550,20,45,1290.0,15.0
205,mcdonalds,breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",510,25,53,1240.0,7.0
206,mcdonalds,breakfast,Big Breakfast,750,25,53,1490.0,3.0
207,mcdonalds,breakfast,Big Breakfast with Hotcakes,1340,35,155,2090.0,48.0
208,mcdonalds,breakfast,Cinnamon Melts,460,6,66,370.0,32.0
209,mcdonalds,breakfast,Hotcakes,590,9,102,600.0,45.0
210,mcdonalds,breakfast,Egg White Delight,260,16,29,780.0,3.0
211,mcdonalds,breakfast,Hash Browns,150,1,16,320.0,0.0
212,mcdonalds,breakfast,"Bacon, Egg & Cheese Scratch Biscuit",480,19,43,1310.0,4.0
213,mcdonalds,breakfast,Sausage Scratch Biscuit,490,12,39,1070.0,3.0
214,mcdonalds,breakfast,Sausage Scratch Biscuit with Egg,50,18,41,1160.0,4.0
215,mcdonalds,breakfast,Southern Style Chicken Scratch Biscuit,460,16,48,1240.0,5.0
216,mcdonalds,breakfast,Sausage McMuffin with Egg Whites,460,22,29,770.0,2.0
217,mcdonalds,breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",380,18,44,1230.0,15.0
218,mcdonalds,breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites",410,18,39,1290.0,3.0
219,mcdonalds,breakfast,Big Breakfast with Egg Whites,670,24,52,1540.0,3.0
220,mcdonalds,breakfast,Fruit & Maple Oatmeal without Brown Sugar,260,6,49,115.0,18.0
221,mcdonalds,breakfast,Sausage Biscuit with Egg Whites,490,17,36,1140.0,3.0
222,mcdonalds,breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",510,19,44,1270.0,15.0
223,mcdonalds,breakfast,"Bacon, Egg & Cheese Bagel",550,26,54,1270.0,7.0
224,mcdonalds,breakfast,"Steak, Egg & Cheese McMuffin",440,28,31,960.0,3.0
225,mcdonalds,breakfast,Sausage McMuffin,400,14,290,760.0,3.0
226,mcdonalds,breakfast,Biscuit and Sausage Gravy,440,9,43,1210.0,3.0
227,mcdonalds,breakfast,Chorizo Burrito,310,16,28,820.0,23.0
228,mcdonalds,breakfast,Chicken McGriddles,390,14,51,1000.0,14.0
229,mcdonalds,breakfast,Egg and Cheese Bagel,480,20,53,1030.0,7.0
230,mcdonalds,breakfast,Blueberry Muffin Main Street Gourmet,400,7,60,340.0,34.0
231,mcdonalds,breakfast,Big Breakfast 2 Bacon Hotcakes Scrambled Egg and Biscuit,1290,39,156,2300.0,48.0
232,mcdonalds,breakfast,Bacon and White Cheddar Cheese McMuffin,350,20,30,770.0,3.0
233,mcdonalds,breakfast,Steak Egg and Cheese McGriddles,510,27,46,1410.0,16.0
234,mcdonalds,breakfast,Apple Chinnamon Muffin,300,7,61,520.0,30.0
235,mcdonalds,breakfast,Sausage Egg and Cheese Bagel,680,27,53,1320.0,7.0
236,mcdonalds,breakfast,Big Breakfast Sausage Scrambled with Hotcakes and Muffin,1240,35,146,1600.0,47.0
237,mcdonalds,breakfast,Double Sausage McMuffin with Egg and Cheese,670,28,30,1100.0,3.0
238,mcdonalds,breakfast,Cranberry Orange Muffin,380,6,70,430.0,35.0
239,mcdonalds,breakfast,Spam Eggs and Rice,480,24,36,780.0,1.0
240,mcdonalds,breakfast,Bagel With Cream Cheese,310,10,49,570.0,6.0
241,mcdonalds,breakfast,Blueberry Biscuit,230,3,36,470.0,11.0
242,mcdonalds,breakfast,Biscuit Sausage Egg and Cheese,580,20,39,1340.0,3.0
243,mcdonalds,breakfast,Big Breakfast Sausage and English Muffin,640,26,44,990.0,2.0
244,mcdonalds,breakfast,McChicken Biscuit,430,14,45,1060.0,2.0
245,mcdonalds,breakfast,Biscuit Sausage Gravy Platter,890,19,87,2410.0,6.0
246,mcdonalds,breakfast,Cinnamon Sweet Cheese Pastry,150,3,16,160.0,7.0
247,mcdonalds,breakfast,Raspberry Pastry,110,2,14,105.0,4.0
248,mcdonalds,breakfast,Bacon Biscuit,340,10,36,1010.0,3.0
249,mcdonalds,breakfast,Bagel Plain,250,9,48,480.0,5.0
250,mcdonalds,breakfast,Country Ham Biscuit,340,15,36,1600.0,2.0
251,mcdonalds,breakfast,Big Breakfast Steak Hotcakes Scrambled with Biscuit,1290,40,155,2190.0,47.0
252,mcdonalds,breakfast,Berry Bran Muffin,410,7,62,480.0,28.0
253,mcdonalds,breakfast,Grits,140,2,19,75.0,0.0
254,mcdonalds,breakfast,Local Deluxe Breakfast,900,38,82,1340.0,2.0
255,mcdonalds,breakfast,Double Chocolate Muffin,450,8,74,600.0,42.0
256,mcdonalds,breakfast,Blueberry Muffin,450,7,67,360.0,32.0
257,mcdonalds,breakfast,Cinnamon Coffee Cake,160,2,22,125.0,13.0
258,mcdonalds,breakfast,Big Breakfast Bacon Scrambled and Biscuit,690,30,54,1690.0,3.0
259,mcdonalds,breakfast,Biscuit Sausage and Cheese,510,14,38,1250.0,3.0
260,mcdonalds,breakfast,Spam Side Order,190,8,1,660.0,1.0
261,mcdonalds,breakfast,Portuguese Sausage Eggs and Rice,520,26,37,690.0,2.0
262,mcdonalds,breakfast,Fruit and Maple Oatmeal with Maple Sugar Packet,270,7,53,115.0,22.0
263,mcdonalds,breakfast,Egg and Chorizo Breakfast Bowl,460,27,23,1060.0,2.0
264,mcdonalds,breakfast,Hot N Spicy McChicken Biscuit,430,14,46,1070.0,2.0
265,mcdonalds,breakfast,Big Breakfast Steak Scrambled with Biscuit,720,32,54,1620.0,3.0
266,mcdonalds,breakfast,McGriddles Spam,450,17,45,1320.0,15.0
267,mcdonalds,breakfast,Green Chile Bacon Burrito,690,29,66,1640.0,5.0
268,mcdonalds,breakfast,Green Chile Sausage,820,30,66,1680.0,5.0
269,mcdonalds,breakfast,Scratch Biscuit and Gravy,470,10,47,1290.0,4.0
270,mcdonalds,breakfast,Biscuit Scratch Sausage and Cheese,540,14,41,1270.0,4.0
271,mcdonalds,breakfast,Chocolatine Pastry,160,3,19,160.0,6.0
272,mcdonalds,breakfast,Lemon Poppy Seed Muffin Topper,150,2,22,120.0,13.0
273,mcdonalds,breakfast,Chocolate Coffee Cake,170,2,21,180.0,13.0
274,mcdonalds,breakfast,Blueberry Muffin Topper,160,2,22,150.0,12.0
275,mcdonalds,breakfast,Double Chocolate Muffin Topper,170,2,23,140.0,14.0
276,mcdonalds,breakfast,Carrot Muffin,440,6,67,370.0,35.0
277,mcdonalds,breakfast,Mini Butter Croissant,140,3,16,180.0,2.0
278,mcdonalds,breakfast,Turkey Sausage and Tomatillo Scramble Bowl,330,29,6,700.0,1.0
279,mcdonalds,breakfast,Cinnamon Sugar Donut Sticks 1/2 Dozen (6 piece),280,6,34,260.0,9.0
280,mcdonalds,breakfast,McGriddles French Toast,650,31,50,1280.0,24.0
281,mcdonalds,salads,Side Salad,15,1,3,15.0,1.0
282,mcdonalds,salads,Premium Bacon Ranch Salad (without chicken),180,14,7,500.0,3.0
283,mcdonalds,salads,Premium Southwest Salad (without chicken),160,8,19,200.0,4.0
284,mcdonalds,salads,Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,480,33,27,1120.0,3.0
285,mcdonalds,salads,Premium Bacon Ranch Salad Grilled Chicken,320,42,8,1240.0,3.0
286,mcdonalds,salads,Premium Southwest Salad with Buttermilk Crispy Chicken,520,28,46,960.0,9.0
287,mcdonalds,salads,Premium Southwest Salad with Grilled Chicken,350,37,27,1070.0,9.0
288,mcdonalds,snacks & sides,Broccoli Cheese Soup,190,6,14,1340.0,3.0
289,mcdonalds,snacks & sides,Chicken Noodle Soup,110,10,15,830.0,1.0
290,mcdonalds,snacks & sides,Fruit ‘n Yogurt Parfait,210,6,40,75.0,28.0
291,mcdonalds,snacks & sides,Small French Fires,230,3,29,160.0,0.0
292,mcdonalds,snacks & sides,Fruit ‘n Yogurt Parfait with Chobani,120,8,21,50.0,15.0
293,mcdonalds,snacks & sides,Apple Slices,15,0,4,0.0,3.0
294,mcdonalds,snacks & sides,Side Salad,15,1,3,15.0,1.0
295,mcdonalds,snacks & sides,Large French Fries,510,7,66,350.0,0.0
296,mcdonalds,snacks & sides,Kids Fries,110,1,15,80.0,0.0
297,mcdonalds,snacks & sides,Ranch Snack Wrap (Buttermilk Crispy),380,16,34,830.0,2.0
298,mcdonalds,snacks & sides,Ranch Snack Wrap (Grilled),300,21,25,890.0,2.0
299,mcdonalds,snacks & sides,Mac Snack Wrap,340,15,26,660.0,2.0
300,mcdonalds,snacks & sides,Go-GURT Strawberry Flavored Low Fat Yogurt Tube,45,2,7,30.0,5.0
301,mcdonalds,snacks & sides,Mozzarella Sticks (3 piece),190,8,18,460.0,1.0
302,mcdonalds,snacks & sides,Basket of Fries,670,8,87,460.0,1.0
303,mcdonalds,snacks & sides,Pineapple Side,60,1,15,0.0,11.0
304,mcdonalds,snacks & sides,Popcorn (large),500,6,45,1250.0,0.0
305,mcdonalds,snacks & sides,Medium French Fries,340,4,44,230.0,0.0
306,mcdonalds,snacks & sides,Portuguese Sausage Side Order,220,10,2,570.0,1.0
307,mcdonalds,snacks & sides,Saimin,240,10,45,610.0,2.0
308,mcdonalds,snacks & sides,Popcorn (small),230,3,21,580.0,0.0
309,mcdonalds,snacks & sides,McCheddar Potato Bites (8 piece),270,6,31,710.0,2.0
310,mcdonalds,snacks & sides,Gourmet Twist Hot Pretzel with Butter Salt,450,12,85,960.0,3.0
311,mcdonalds,snacks & sides,Plain Gourmet Pretzel Twist,440,12,85,460.0,3.0
312,mcdonalds,snacks & sides,Gourmet Twist Hot Pretzel with Butter,450,12,85,460.0,3.0
313,mcdonalds,snacks & sides,Gilroy Garlic Fries (Large),550,10,67,530.0,0.0
314,mcdonalds,snacks & sides,Fruit ‘N Yogurt Parfait (Large),300,8,58,95.0,45.0
315,mcdonalds,snacks & sides,Cheese Curds,440,24,18,970.0,1.0
316,mcdonalds,snacks & sides,Minute Made Fruit Punch Slushie (Large),300,0,80,25.0,78.0
317,mcdonalds,snacks & sides,Minute Maide Fruit Punch Slushie (Medium),210,0,58,20.0,56.0
318,mcdonalds,snacks & sides,Cinnamon Sugar Donut Sticks 1/2 Dozen (6 piece),280,6,34,260.0,9.0
319,mcdonalds,snacks & sides,Cinnamon Sugar Donut Sticks Dozen (12 piece),560,12,68,520.0,18.0
320,mcdonalds,snacks & sides,French Fires (Large) Compostable Packaging,470,6,61,330.0,0.0
