,title,description,date,aid,bvid,time,length,play,typeid,comment,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike,no_reprint,copyright,typename,section,sub-section
139,【博物馆里的中国通史③】人类来到东亚,"【博物馆里的中国通史③人类来到东亚】地球从形成到现在，已经有46亿年了。如果把这46亿年浓缩成一天的话，你猜人类是什么时候出现的呢？
博物馆里的中国通史，1~7集，每日18:00更新",2020-02-10 10:00:39,87372577,BV13741187MK,1581328839,09:26,107998,37.0,667.0,107998,1214,667,1588,2524,600,0,0,17021,0,1,1,人文历史-纪录片,纪录片,人文历史
140,记者詹松直播武汉现状泣不成声！导演陆川致敬武汉前线媒体人【两地书】,大年初二，《长江日报》记者詹松在一场对武汉城区的“特殊直播”中几度情难自控到哽咽。“武汉快点好起来！快点好起来……”这不仅仅是他作为武汉人对家乡的呼唤，更是全体前线媒体人的心声。,2020-02-10 14:00:45,88007746,BV1X741147DX,1581343245,08:01,148141,85.0,512.0,148141,259,512,457,1521,703,0,0,21214,0,1,1,短片-影视,影视,短片
141,【博物馆里的中国通史④】从北京人到山顶洞人,"世界上原有哪些古人类？他们都去哪儿了？元谋人、蓝田人、北京人、山顶洞人是不是今天我们的祖先？在上个世纪二十年代，几位考古学家在北京附近的周口店龙骨山一带发掘了好几年，终于发现一个完整的头盖骨化石，这个发现一下子轰动了世界……

博物馆里的中国通史，1~7集，每日18:00更新",2020-02-11 10:49:20,87804724,BV1h7411b72H,1581418160,09:40,93918,37.0,544.0,93918,858,544,1349,1858,529,0,0,15106,0,1,1,人文历史-纪录片,纪录片,人文历史
142,96年女医生甘如意骑行四天三夜回武汉抗疫，蓝羽致敬90后最美逆行者！,骑行四天三夜，跨越300多公里，96年生的女医生甘如意，从荆州老家火线返回武汉市江夏区金口中心卫生院范湖分院，加入一线救护队伍。而在网友为其精神感动点赞的同时，她却只淡淡回应为“这没什么，这是我该做的”,2020-02-11 12:00:42,88234907,BV1i7411574S,1581422442,08:01,152208,85.0,658.0,152208,227,658,579,1647,816,0,0,22032,0,1,1,短片-影视,影视,短片
143,【博物馆里的中国通史⑤】石器时代：什么是石器,"人类最早利用的工具是什么呢？是随手掰下的树枝？是海边捡起的贝壳？还是啃剩下的动物骨头？最坚硬、最耐用、又最容易找原材料的工具是什么呢？为什么要一再地强调工具呢？

博物馆里的中国通史，1~7集，每日18:00更新",2020-02-12 10:00:35,87805675,BV1h7411b7nF,1581501635,09:41,78310,37.0,314.0,78310,818,314,1142,1753,474,0,0,14714,0,1,1,人文历史-纪录片,纪录片,人文历史
144,女儿画画支持医生妈妈：我想你，但我不哭 ， 瑶淼哽咽致敬《两地书》,大年初三，山西省中医院供应室护士长王芳随山西省首批援鄂医疗队前往湖北抗疫一线，将十岁的女儿笑笑留在家中。不过，笑笑并没有因为陪伴的缺失而哭泣，反而为英勇出征的妈妈作画打气。,2020-02-12 14:37:06,88468579,BV1K7411V78d,1581518226,08:01,63236,85.0,238.0,63236,89,238,196,856,575,0,0,15485,0,1,1,短片-影视,影视,短片
145,【动态漫】岂曰无衣，与鄂同袍,【动态漫】岂曰无衣，与鄂同袍,2020-02-13 07:47:02,88658954,BV1s7411378W,1581580022,03:44,555174,47.0,2603.0,555179,6967,2603,26671,50044,7260,0,0,84006,0,1,1,短片·手书·配音-动画,动画,短片·手书·配音
146,【博物馆里的中国通史⑥】采集时代的食物，都到碗里来,"最早的人类都吃些什么呢？吃是人类生存的本能，吃也是人类进步的动力，人类在吃，动物也在吃，但是人类的吃和动物的吃有什么根本性的区别呢？
博物馆里的中国通史，1~7集，每日18:00更新",2020-02-13 10:00:39,87806466,BV1Y7411b7h8,1581588039,08:10,76750,37.0,452.0,76750,742,452,1086,1544,507,0,0,14024,0,1,1,人文历史-纪录片,纪录片,人文历史
147,数位医生痊愈后立即返岗 ！大鹏深受感动，写信致敬“平民英雄”【两地书】,刻不容缓的抗疫一线，很多不幸感染的医护人员在治愈后，都选择立即重返岗位。郭琴护士就是其中一员，而仍在康复中的余昌平医生 也始终乐观科普防疫。,2020-02-13 14:03:54,88691205,BV1v741137kP,1581602634,08:01,90963,85.0,370.0,90963,109,370,334,1114,527,0,0,17115,0,1,1,短片-影视,影视,短片
148,【热血出征】这一战，我们一定能赢！【宝石 Gem《出征》MV】,"人民日报
热血出征：这一战，我们一定能赢！
@宝石Gem_ 《出征》MV
来源：人民日报客户端",2020-02-13 16:53:49,88796322,BV1K7411G7AA,1581612829,02:37,344235,96.0,30.0,344239,1973,30,11321,9408,3065,0,0,38342,0,0,2,星海-科技,科技,星海
149,金银潭医院院长：患者康复后体内含抗体，恳请康复患者捐赠血浆,【金银潭医院院长：患者康复后体内含抗体，恳请康复患者捐赠血浆】武汉市金银潭医院院长张定宇表示，患者康复后体内含有大量综合抗体，能够对抗病毒，也恳请康复后的患者积极来到金银潭医院，伸出你的胳膊，捐献你宝贵的血浆，共同救治还在与病魔作斗争的病人。,2020-02-13 17:05:46,88790645,BV1N7411G7ib,1581613546,02:38,386225,21.0,2744.0,386225,136,2744,700,2328,1232,0,0,29125,0,1,1,日常-生活,生活,日常
150,【博物馆里的中国通史⑦】锅碗瓢盆，陶器的发明,"考古学家说，李家沟是从旧石器时代过渡到新石器时代的一个遗址，怎么看出这种过渡呢？人类从采食到集食的转变了，为什么会发生这种转变呢？全世界最早的陶器是什么时候出现呢？怎么制作的呢
博物馆里的中国通史，1~7集，每日18:00更新",2020-02-14 10:00:11,87807832,BV1Y7411b7L2,1581674411,09:00,66670,37.0,354.0,66670,693,354,1070,1723,429,0,0,13043,0,1,1,人文历史-纪录片,纪录片,人文历史
151,【恋曲2020】今天，不可触及的爱，无处不在,"【恋曲2020】今天，不可触及的爱，无处不在

他
用车灯照亮妻子去值守的路

她
只能隔着屏幕对丈夫问寒问暖

他和她
同在一所医院，
却多日不曾相见

今天，
他们这样度过

他们
说自己不是英雄
在我们心中
他们
就是英雄！

今天
相聚
还只是一个愿望
但请记住今天
2020年2月14日

爱，不可触及
爱，无处不在

（新华社）",2020-02-14 12:36:29,88967755,BV1t7411g7ah,1581683789,04:59,100487,21.0,559.0,100488,361,559,1453,3196,995,0,0,21087,0,1,1,日常-生活,生活,日常
152,武汉民警董宏祥一家七人奋战在一线，导演丁晟感动书信基层警务工作者【两地书】,【两地书 之 坚守】防疫宣传、落地监督、转移病患，武汉民警董宏祥在他的24小时班次中，始终忙碌却片刻不敢疏忽。“一座城，一群人，生于斯长于斯，光荣永远属于那些沉默坚忍的普通人。”,2020-02-14 14:25:12,88966535,BV1t7411g7yQ,1581690312,08:01,47222,85.0,134.0,47222,45,134,189,990,517,0,0,12589,0,1,1,短片-影视,影视,短片
153,【大国大爱】音频怪物/李常超/萧忆情/贰婶/排骨教主/奇然/流浪的蛙蛙/伦桑/司夏/董真/陈粤彬/王琦BOWI/霄磊/秦子墨/沈谧仁/陈鹏杰/封茗囧菌,"满腔挚情化作款款唱腔，为武汉和全国人民加油，向所有奋战在疫情防控一线的人们致敬，这是我们的《大国大爱》！

演唱：音频怪物/李常超/萧忆情/贰婶/排骨教主/奇然/流浪的蛙蛙/伦桑/司夏/董真/陈粤彬/王琦BOWI/霄磊/秦子墨/沈谧仁/陈鹏杰/封茗囧菌/雨洛Huge/少年霜/龟娘/白止/李蚊香/cv王胖子/陌秋离/妖蝠/凤九/佑可猫/唯今/张羽璃Atboth/Smile_小千/肥皂菌/三畿道/玄觞/小时姑娘/安九/小爱的妈/HITA",2020-02-15 09:37:21,89185694,BV1t7411J7bx,1581759441,04:14,236712,28.0,1618.0,236713,3234,1618,14229,24183,4021,0,0,41905,0,1,1,原创音乐-音乐,音乐,原创音乐
154,【宅家无聊？】学习强国“在家上学”再升级，快来寻宝！,"学习强国
【宅家无聊？】学习强国“在家上学”再升级，快来寻宝！",2020-02-15 14:56:36,89277058,BV1Z7411J7bx,1581778596,01:26,108212,21.0,1202.0,108212,94,1202,337,740,710,0,0,13561,0,0,2,日常-生活,生活,日常
155,日本旗袍女孩为武汉募集50万日元，郭帆给旗袍募捐女孩写信【两地书】,东京灯会，一位身着旗袍的日本女孩鞠躬为武汉募款的身影，打动了亿万中国网民的心。山川异域，无碍风月同天。。,2020-02-17 15:10:29,89697147,BV197411j7GM,1581952229,08:01,221964,85.0,3456.0,221964,664,3456,897,2499,966,0,0,26827,0,1,1,短片-影视,影视,短片
156,【原创BGM】英雄【致敬白衣战士】,"投稿&音乐制作@LuckyMaxx路南
网易云音乐：https://music.163.com/#/song?id=1421880660",2020-02-18 09:21:41,89897498,BV1R741177mk,1582017701,03:36,205249,28.0,1855.0,205251,1663,1855,5463,11445,922,0,0,32708,0,1,1,原创音乐-音乐,音乐,原创音乐
157,泪目！胡世颉、史庆辉驰援湖北，留下这几个字！王庆祥致敬援鄂医生【两地书】,医者父母心，医者自身也都是父母最为挂牵的孩子。援汉二十余天，胡世颉、史庆辉两位医生在抗疫一线是中坚急先锋，而家中令他们牵肠挂肚的父母则更是精神依托。,2020-02-18 13:55:33,89906426,BV12741177fy,1582034133,08:01,64973,85.0,1811.0,64973,86,1811,195,876,550,0,0,13745,0,1,1,短片-影视,影视,短片
158,【Minecraft】用我的世界打开火神山医院,【Minecraft】用我的世界打开火神山医院,2020-02-19 11:30:58,90104759,BV1M7411j7ZG,1582111858,06:10,717625,96.0,2853.0,717641,5463,2854,24370,52508,4532,0,0,96595,0,1,1,星海-科技,科技,星海
159,好消息！91岁高龄新冠肺炎患者出院！卢奇致敬抗疫成功九旬老兵【两地书】,91岁高龄的王明光老人，不仅是解放战争功勋英雄，更是湖北省年龄最大的新冠肺炎治愈患者。走过枪林弹雨，成功抗“疫”鼓舞人心的他，诠释着生生不息的力量。,2020-02-19 13:55:49,90126976,BV1s7411j7KL,1582120549,08:01,88456,85.0,615.0,88456,173,615,265,1046,576,0,0,17406,0,1,1,短片-影视,影视,短片
160,【平旦｜洛天依/乐正绫】武汉加油！中国加油！,"简介：
策划 CARDINAL星海
作词 因你而在的梦
作曲 依溪禾
编曲 DBRT、Mr.Guai
混音 依溪禾
调校 郑射虎
视频制作 Semaa小赛
和声编写 星海子

你 也许会感到孤单
劫后余生的疼痛感 还未消散
你 侧身想躲避黑暗
同时也期盼着黎明 不要太晚

生命中 分分合合
真情在夜幕下朦胧
我愿意 手捧微茫 为你点亮这星河
若列车 驶向远方 终要停站送走旅客
我愿意 等待阳光 包裹住分别 的苦涩

你 将目光透出窗棂
夜间天使奔波的身影 格外清晰
你 伸手想捉住光阴
指尖上残留的春意 饱",2020-02-20 11:00:34,90326093,BV1S7411A7dE,1582196434,04:30,153134,30.0,1630.0,153134,967,1630,3689,5483,962,0,0,23195,0,1,1,VOCALOID·UTAU-音乐,音乐,VOCALOID·UTAU
161,排雷英雄杜富国妹妹出征抗疫一线，王宝强以许三多精神致敬杜富国、杜富佳兄妹,"骨肉同胞，二人从戎，二人从医；
非常时刻，守土卫国，各尽其责。",2020-02-21 14:10:58,90638140,BV1R7411w7iB,1582294258,08:01,165870,85.0,614.0,165870,441,614,750,2666,716,0,0,27343,0,1,1,短片-影视,影视,短片
162,这次疫情，带给你哪些改变？,盐城市盐都区委组织部,2020-02-22 07:15:05,90838948,BV1L7411c7pU,1582355705,03:10,195236,96.0,2244.0,195237,802,2244,2052,2182,861,0,0,25124,0,0,2,星海-科技,科技,星海
163,【Together】19国音乐人翻唱中国民谣，为中国战“疫”加油！,"中国网
近日，改编自中国民谣《在路上》，由19个国家、50位音乐人联合创作的歌曲《TOGETHER》在@中国网 首发。疫情发生后，包括多位格莱美奖得主在内的50位“国乐复兴计划”全球合作音乐人迅速行动起来，向中国、向武汉传递爱与温暖。",2020-02-22 12:30:03,90848089,BV177411c7h4,1582374603,04:55,451123,31.0,1424.0,451125,3128,1424,17621,12324,3779,0,0,60648,0,0,2,翻唱-音乐,音乐,翻唱
164,我们是如何战胜蝗灾的？,"经过几十年治理，今天的中国初步实现了“飞蝗不起飞成灾、土蝗不扩散危害、入境蝗虫不二次起飞”的治理目标。
近年来，我国的治蝗工作已经走出国门，走向世界。在老挝、在莫桑比克，在许许多多的第三世界国家，来自中国的农业科技工作者，正在帮助这些国家的人民对抗蝗虫，争取更多希望。
陈家祥、马世骏、朱久望，还有成千上万默默付出的治蝗人，正是他们几十年如一日的刻苦钻研、辛勤劳作，在治蝗战线上取得了大量的胜利，我们才能在一片宁静的天空下安享丰盛的晚餐。",2020-02-22 13:00:21,90869642,BV1W7411c77A,1582376421,07:19,664915,124.0,3054.0,664918,5169,3054,10019,21499,2222,0,0,77918,0,1,1,趣味科普人文-科技,科技,趣味科普人文
165,【防疫一线Vlog】忙了一天的90后护士，摘下口罩后……,"央视军事
在ICU病房里，她们是冷静老练的护士；走出隔离区，摘下口罩，她们一秒露出90后原本的模样，“这时候最爽，感觉全世界都是我的！”连走路的步伐都是蹦蹦哒哒！",2020-02-23 09:44:31,91128320,BV1P7411F75L,1582451071,03:05,215361,96.0,722.0,215362,889,722,1921,3366,845,0,0,30311,0,0,2,星海-科技,科技,星海
166,习近平在统筹推进新冠肺炎疫情防控和经济社会发展工作部署会议上强调 毫不放松抓紧抓实抓细防控工作 统筹做好经济社会发展各项工作,"新闻联播
习近平在统筹推进新冠肺炎疫情防控和经济社会发展工作部署会议上强调 毫不放松抓紧抓实抓细防控工作 统筹做好经济社会发展各项工作",2020-02-23 14:13:30,91193733,BV1W7411F7iq,1582467210,13:39,91481,96.0,22.0,91481,25,22,334,961,578,0,0,18059,0,0,2,星海-科技,科技,星海
167,“医生，我可不可以晚一点死？”,"没有一个冬天不可逾越，没有一个春天不会到来。
致敬，每一位勇敢的中国人。

来源：邮箱投稿（tzybilibili@163.com）
作者：薄情小哥哥丶
开场独白：电影原声 倾城之泪
结尾：@中南小团子 中南大学湘雅学院医学生（https://www.bilibili.com/video/av89206331）",2020-02-24 03:30:44,91214094,BV1J7411F7fU,1582515044,04:38,1508487,96.0,6202.0,1508496,13080,6202,38424,56349,10904,0,79,148884,0,1,1,星海-科技,科技,星海
168,【直播回放】金灿荣：从国际角度看中国的防”疫“战,【直播回放】金灿荣：从国际角度看中国的防”疫“战,2020-02-24 12:30:33,91361225,BV177411u7Nn,1582547433,53:49,544256,96.0,2234.0,544259,12571,2234,8578,8944,2601,0,0,30660,0,1,1,星海-科技,科技,星海
169,武汉夫妻为医护人员24小时送餐，陶红致敬武汉善心餐饮人【两地书】,【两地书之同舟】抗疫战打响初期，武汉一线医护人员的一日三餐成了最现实的问题。得知这一情况，当地90后餐馆经营者邱贝文毅然决定倾全家之力为这些英雄做饭。,2020-02-24 13:55:11,91362160,BV1J7411u7Le,1582552511,08:01,71438,85.0,222.0,71438,133,222,238,1158,403,0,0,16717,0,1,1,短片-影视,影视,短片
170,爱不分国界！华人女孩东京街头发口罩,"青蜂侠
【爱不分国界！华人女孩东京街头发口罩】近日，一位女孩在东京街头发放爱心口罩，女孩头戴小鹿头套为过往的行人发放口罩。除此之外，不少在日华侨也在日本免费发放口罩给行人。",2020-02-25 13:19:24,91684287,BV1N7411M7YY,1582636764,00:45,798461,96.0,4327.0,798461,1183,4327,4877,4026,1229,0,0,76726,0,0,2,星海-科技,科技,星海
171,武汉123志愿者车队免费接送医护人员，龚格尔致敬武汉志愿者,武汉公共交通关闭的第一时间，黄晓民集结朋友成立了以当天日期为名的志愿者车队“123”，用以接送医护人员。同为土生土长的武汉伢，90后姑娘陈灵毓义无反顾地加入车队，成为生命的“摆渡人”,2020-02-25 13:55:56,91638035,BV1Q7411T78K,1582638956,08:01,71517,85.0,553.0,71517,70,553,204,966,383,0,0,17446,0,1,1,短片-影视,影视,短片
172,【抗击疫情】我们一起用音乐守护爱,"2020年伊始，一场没有硝烟的“战争”迅速打响。
我们与@网易云音乐 联合发起“抗击疫情，为城市应援”原创歌曲征集活动，截至2月24日已征集到超4000首原创歌曲，总播放量超7000万次。
这个冬天，我们用音乐的力量为中国加油！
希望如约而至的不止是春天和胜利，还有疫情过后健康无恙的你。

歌曲：《守护》
作曲/作词 : 幼稚园杀手",2020-02-26 03:30:43,91688320,BV1j7411M78f,1582687843,02:45,77783,28.0,775.0,77785,259,775,849,2299,525,0,0,16260,0,1,1,原创音乐-音乐,音乐,原创音乐
173,美官员称中国窃取美科研成果？赵立坚：中国科技成就一不靠偷 二不靠抢,"外交部发言人办公室
美官员称中国窃取美科研成果？赵立坚：中国科技成就一不靠偷 二不靠抢",2020-02-26 07:48:51,91857109,BV1b7411K7iS,1582703331,02:04,658969,96.0,2021.0,658974,1127,2021,1791,1684,583,0,0,42137,0,0,2,星海-科技,科技,星海
174,【杜甫·安得广厦千万间】茅屋为秋风所破歌【奇然/沈谧仁】,"作词：杜甫
作曲/编曲：何仡
演唱：奇然、沈谧仁
和音编写：何仡、奇然、沈谧仁
和音：奇然、沈谧仁
策划：奇然、沈谧仁
出品：平行世界工作室
混音：dB音频工作室
画师：HM
PV：132",2020-02-26 10:10:09,91726102,BV187411M7BT,1582711809,03:21,270545,28.0,2577.0,270551,1524,2577,12672,9200,2631,0,0,37214,0,1,1,原创音乐-音乐,音乐,原创音乐
175,联合国秘书长感谢中国人民：中国人民在为全人类作贡献,"中国网新闻中心
【联合国秘书长感谢中国人民：中国人民在为全人类作贡献】联合国秘书长古特雷斯24日在瑞士日内瓦表示，他想向所有在中国被剥夺了许多正常生活的人传递一个信息，那就是：感激。因为正是这些被剥夺了其他人正在享有的积极生活的人做出牺牲，疾病才得以被阻止传播，他们是在为人类作贡献。",2020-02-26 13:35:35,91859298,BV1b7411K7TX,1582724135,01:03,807705,96.0,1768.0,807707,979,1768,2204,1505,910,0,0,39190,0,0,2,星海-科技,科技,星海
176,90后咖啡店主每天为医院送200杯咖啡，苏芒致敬武汉爱心咖啡人【两地书】,“谁要来光谷做咖啡？中午要送200杯给湖北省中医院的白衣天使们 ”除夕当天，90后咖啡店主田亚珍在微信群里这样召唤着工作伙伴。至今，他们已为一线医护免费提供近万杯现磨咖啡及不可计量的善意温暖。积极号召演艺界朋友为疫区助力的苏芒 为小田写下信件：“这份不变的温度能让人记得：爱，一直都在；生活，一直都在；春天，也一直都在！”,2020-02-26 15:03:41,91917615,BV117411K7Xd,1582729421,08:01,71865,85.0,422.0,71865,143,422,274,1207,325,0,0,15213,0,1,1,短片-影视,影视,短片
177,外交部：韩日抗击疫情，中国不会缺席,"外交部发言人办公室
2月27日，外交部发言人赵立坚表示，中方对韩日两国政府和人民为中国抗击疫情提供的支持和帮助深表感谢。中日韩是一衣带水的友好邻邦，在疫情面前更是命运共同体。在韩国、日本抗击疫情的努力中，中国不会缺席。",2020-02-27 12:01:36,92176317,BV157411N7TF,1582804896,00:29,407876,96.0,1737.0,407876,440,1737,1022,1210,465,0,0,27087,0,0,2,星海-科技,科技,星海
178,于谦致信疫情下每一位乐观的你【两地书】：共克时艰，扬帆起航,素未谋面的口罩工厂志愿者、顶着寒风为医护送菜的爱心菜农、免费捐赠设备的家居厂老板、协力抗疫一线的青年学子……一张张积极乐观的笑脸，是中国人民面对抗疫这场“大考”的温暖与坚定。用笑声疗愈大家的电影人,2020-02-28 00:01:18,92211268,BV1v7411N79o,1582848078,08:01,146404,85.0,1122.0,146405,924,1122,1221,3318,884,0,0,23717,0,1,1,短片-影视,影视,短片
179,太平志长留！这首由《将军令》改编的抗疫MV令人泪目,【太平志长留！这首由《将军令》改编的抗疫MV令人泪目】面对突如其来的疫情，没有从天而降的英雄，只有挺身而出的凡人。@正义网 联合地方检察院与音乐人鲍比达合作为大家带来这首抗疫MV，向疫情中不懈奋战的医护人员、警察、基层干部致敬，也为所有与疫情赛跑的中国人加油！,2020-02-28 11:00:31,92347130,BV1DE411n7V3,1582887631,04:04,437581,31.0,1557.0,437591,1327,1557,11210,16977,2486,0,0,39067,0,1,1,翻唱-音乐,音乐,翻唱
180,电影人刘劲和CCTV6电影频道员工签名祝福武汉【武汉我想对你说】,全民参与的疫情防控阻击战中，耀眼的不只一线奋战的英雄，更有每个同心坚守中的平凡你我。多次饰演周恩来的电影人好学生刘劲 致敬每个耀眼的中国人：“每个英雄，都有自己的出场方式，都有自己不同的光亮。”,2020-02-28 15:57:56,92454814,BV1pE411H7zk,1582905476,08:01,63666,85.0,45.0,63666,102,45,177,1067,573,0,0,11817,0,1,1,短片-影视,影视,短片
181,吴谦：“军民团结如一人，试看天下谁能敌？”,"人民视频
【吴谦：“军民团结如一人，试看天下谁能敌？”】国务院联防联控机制于3月2日上午10时举行新闻发布会，介绍军队支援地方抗击新冠肺炎疫情有关情况，并答记者问。

国防部新闻局局长、新闻发言人吴谦在发布会的最后补充称：“军民团结如一人，试看天下谁能敌？”",2020-03-02 11:04:55,93193404,BV1TE41177XH,1583147095,00:06,613640,96.0,2606.0,613643,632,2606,3658,3865,2197,0,0,42868,0,0,2,星海-科技,科技,星海
182,【原创MV】Stand Strong Wuhan，21国青年唱响这首歌,"近一个月，新冠肺炎疫情牵动着世界人民的心。在我们全力以赴抗击疫情的时候，来自30多个国家和国际组织的青年领袖发来了70多份视频和信件，传递了五大洲青年的共同心声：武汉加油！中国加油！

出品人
李柯勇
 
总监制
董霞  伍伟
 
总策划
刘凯  潘颖婷
 
外联推广
袁丽  孟洋  朱鸣华  周际  张莹  郑悦  单其悦
尤楠  施天驰  张利萍  王晨晖  胡文利
 
影音制作团队
总制作人：马奕强
视频制作：顾晏舟
作词：龚达伟（新加坡） 刘海若
作曲：孟乔 @Vic荞麦
编曲：何政 @大眼萌星人",2020-03-03 06:11:49,93350053,BV1UE411x76P,1583215909,03:52,113927,28.0,764.0,113928,784,764,3774,6506,1045,0,0,25291,0,1,1,原创音乐-音乐,音乐,原创音乐
183,【中国有故事 防疫特别节目】致敬志愿者,将来，不论何时，当人们再次回顾新冠肺炎疫情，必定会为一种壮观的景象深深触动：危急关头，一个个原本最平凡的人，突然绽放出最不平凡的英雄光彩。不管你是否接受过他们的帮助与服务，请记住他们，他们是凡人英雄，他们是中国志愿者。,2020-03-03 11:05:03,93351083,BV1UE411x7Hg,1583233503,05:58,64880,96.0,597.0,64882,233,597,820,2125,855,0,0,16742,0,1,1,星海-科技,科技,星海
184,外交部：中方连发四问回应美限制中国媒体,"外交部
美方称限制中国媒体是为了是实现“对等”　？赵立坚连发四问！",2020-03-04 03:09:43,93583884,BV1cE411t75U,1583291383,01:29,393513,96.0,1755.0,393520,695,1755,1554,1885,790,0,0,35027,0,0,2,星海-科技,科技,星海
185,【48秒速览】全国医务人员驰援湖北,"新华网
全国驰援，决战湖北！",2020-03-05 06:13:24,93862087,BV1VE411W7Xw,1583388804,00:49,365764,96.0,1569.0,365791,2338,1569,4298,3041,1130,0,0,37458,0,0,2,星海-科技,科技,星海
186,外交部回应美主持人要中国就疫情道歉：谁要求美国为H1N1流感道歉了吗？,外交部发言人办公室,2020-03-05 12:17:01,93947227,BV16E411W7DQ,1583410621,00:45,2329138,96.0,5066.0,2329216,3182,5066,10849,9916,5782,0,75,132434,0,0,2,星海-科技,科技,星海
187,报告称美中情局长期渗透攻击中国网络！赵立坚：请给中国和世界一个解释,外交部发言人办公室,2020-03-05 13:29:03,93975554,BV1zE411W7vH,1583414943,00:27,1289047,96.0,3879.0,1289110,949,3879,3431,2971,1546,0,0,66186,0,0,2,星海-科技,科技,星海
188,若你也曾见过他们……,"苏州市广播电视总台全媒体采制中心
他们是新冠肺炎疫情期间万千志愿者的缩影，他们是平凡的普通人，却传递出令人难忘的精神、力量和效率。
谢谢所有志愿者，让我们一起加油！",2020-03-06 08:16:56,94153903,BV1wE411p73h,1583482616,04:33,234778,96.0,768.0,234800,1325,768,4085,4439,1066,0,0,35627,0,0,2,星海-科技,科技,星海
189,超飒！歼-10B飞高难动作落叶飘,"来源：央视军事
犹如落叶旋转，“落叶飘”是世界级的高难度飞行动作，国际上能做出这一动作的战机屈指可数。不仅看着酷炫，“落叶飘”可攻可守，能抢得先机，也是实战中的“杀手锏”。而换装矢量发动机的歼-10B就能完成“落叶飘”！为中国战机点赞！",2020-03-07 06:15:11,94371400,BV1fE411p7MU,1583561711,01:03,463220,96.0,2841.0,463245,1086,2841,1480,1547,755,0,0,32961,0,0,2,星海-科技,科技,星海
190,千年女子最强音《华夏巾帼志》【茶理理/小缘/肥皂菌/三畿道】,"VC本家：av94548443
-出品-
广东共青团
-制作-
策划统筹：音喵工场、霾AXIS
音乐制作：联合麦田
视频制作：鸦相馆、饭伊典工作室
-STAFF-
策划：CARDINAL星海/雨狸
作曲：依溪禾
作词：雨狸
演唱：茶理理/小缘/肥皂菌/三畿道
编曲：依溪禾
混音：Digifan
后期：一只岁碎
母带：Digifan
分镜：Nekoloco/饭伊典
绘画：Lune/唯Tu/啊噜
美工：玫绍
视频：饭伊典/Nekoloco
视觉统筹：雨狸
艺人统筹：CARDINAL星海
出品：广东共青团

歌",2020-03-08 02:00:00,94547492,BV1qE411g7cN,1583632800,03:41,373462,28.0,2142.0,373475,2928,2142,26236,39464,6434,0,0,60166,0,1,1,原创音乐-音乐,音乐,原创音乐
191,【华夏巾帼志】妇女能顶半边天【V家】洛天依、乐正绫、墨清弦、言和,"人声本家：av94547492
-出品-
广东共青团
-制作-
策划统筹：音喵工场、霾AXIS
音乐制作：联合麦田
视频制作：鸦相馆、饭伊典工作室
-STAFF-
策划：CARDINAL星海/雨狸
作曲：依溪禾
作词：雨狸
演唱：洛天依/乐正绫/墨清弦/言和（按出场顺序）
编曲：依溪禾
混音：Digifan
调校：溱绫西陌/星葵
母带：Digifan
分镜：Nekoloco/饭伊典
绘画：Lune/唯Tu/啊噜
视频：饭伊典/Nekoloco
美工：玫绍
视觉统筹：雨狸
出品：广东共青团

歌词：
是谁说",2020-03-08 02:00:00,94548443,BV1BE411g7fQ,1583632800,03:41,298378,30.0,3249.0,298389,2907,3249,27563,34158,5849,0,59,56902,0,1,1,VOCALOID·UTAU-音乐,音乐,VOCALOID·UTAU
192,“如果有天，爸妈都不管我，那该多好啊……”,"来源：邮箱投稿（tzybilibili@163.com）
作者：王天悦 河北省冀中公安局
创作者说：我是一名基层民警。疫情发生前，我身边的许多“警宝”都跟我这个大姐姐吐槽过爸妈管他们太严，总是这个也不行那个也不让。但疫情发生后，他们在这个寒假突然变成了“留守儿童”，于是他们每天都在给爸妈疯狂打call——“爸爸妈妈你们什么时候回家啊！”“爸爸妈妈加油！新闻里说了，你们都是最棒的！”这次疫情让我关注到了“警宝”们在这个特殊时期，孩子们都迅速长大了。父母在一线战疫，小小的他们在家里选择了安静守候，也学会了理解",2020-03-08 03:10:54,94459415,BV1cE411g77h,1583637054,03:14,267486,47.0,1781.0,267498,1568,1781,5232,9406,1196,0,0,45015,0,0,1,短片·手书·配音-动画,动画,短片·手书·配音
193,张伟丽成功卫冕 UFC世界冠军！用实力说话！,今天，中国首位UFC冠军张伟丽，在UFC248的比赛中，不负众望击败波兰挑战者乔安娜，卫冕成功！张伟丽在现场说：“我的祖国正在抗击疫情，参加这场比赛非常不容易。现在疫情已关系到全人类，希望大家共同努力！”,2020-03-08 11:50:47,94673985,BV1eE411M7CE,1583668247,00:29,449253,96.0,2856.0,449254,744,2856,1572,7226,1361,0,0,71009,0,1,1,星海-科技,科技,星海
194,【回放】张伟丽VS乔安娜【PP体育授权发布】,【回放】张伟丽VS乔安娜【PP体育授权发布】,2020-03-09 07:53:17,94911371,BV1TE411T7Fb,1583740397,46:36,853328,163.0,6222.0,853338,35685,6222,21490,34671,17308,0,67,86845,0,1,1,运动-生活,生活,运动
